word	part_of_speech	major	minor
-가02	접사	인간	사람의 종류
-가량	접사	개념	양
-간	접사	개념	시간
-감	접사	인간	감정
-객	접사	인간	사람의 종류
-료	접사	경제생활	경제 수단
-률02	접사	개념	정도
-발02	접사	개념	위치 및 방향
-사01	접사	인간	사람의 종류
-사06	접사	인간	사람의 종류
-심	접사	인간	감정
-원01	접사	인간	사람의 종류
-율02	접사	개념	정도
-자06	접사	인간	사람의 종류
제-	접사	개념	순서
-질	접사	인간	신체 행위
-째02	접사	개념	순서
-학	접사	교육	전공과 교과목
가01	명사	자연	지형
-가06	접사	경제생활	경제 수단
가게	명사	경제생활	경제 행위 장소
가격02	명사	경제생활	경제 수단
가계02	명사	경제생활	경제 행위 주체
가곡	명사	문화	음악
가공01	명사	경제생활	경제 행위
가구02	명사	주생활	생활용품
가까이01/가까이02	부사/명사	개념	위치 및 방향
가깝다	형용사	개념	위치 및 방향
가꾸다	동사	의생활	미용 행위
가끔	부사	개념	빈도
가난	명사	경제생활	경제 상태
가냘프다	형용사	인간	용모
가누다	동사	인간	신체 행위
가느다랗다	형용사	개념	모양
가늘다	형용사	개념	모양
가늠	명사	인간	인지 행위
가능	명사	인간	능력
가능성	명사	인간	능력
가다01	동사	인간	신체 행위
가득	부사	개념	양
가득하다	형용사	개념	양
가득히	부사	개념	양
가렵다	형용사	인간	감각
가로01/가로02	명사/부사	개념	위치 및 방향
가로수	명사	동식물	식물류
가루	명사	개념	모양
가르치다	동사	교육	교수 학습 행위
가르침	명사	교육	교수 학습 행위
가리키다	동사	인간	신체 행위
가만히	부사	인간	태도
가면	명사	의생활	모자, 신발, 장신구
가뭄	명사	자연	재해
가방	명사	의생활	모자, 신발, 장신구
가볍다	형용사	개념	성질
가쁘다	형용사	삶	병과 증상
가사01	명사	주생활	가사 행위
가상	명사	인간	인지 행위
가설03	명사	교육	학문 용어
가속	명사	개념	속도
가속화	명사	개념	속도
가수	명사	사회생활	직업
가스	명사	자연	자원
가스레인지	명사	주생활	생활용품
가슴	명사	인간	신체 부위
가습기	명사	주생활	생활용품
가시01	명사	동식물	식물의 부분
가시01	명사	동식물	동물의 부분
가시다	동사	인간	신체 행위
가야금	명사	문화	음악
가엾다	형용사	인간	감정
가옥	명사	주생활	주거 형태
가요	명사	문화	대중문화
가운데	명사	개념	위치 및 방향
가위01	명사	교육	학습 관련 사물
가을	명사	개념	시간
가장01	부사	개념	순서
가장02	명사	삶	친족 관계
가장자리	명사	개념	위치 및 방향
가전제품	명사	주생활	생활용품
가정02	명사	교육	학문 용어
가정주부	명사	사회생활	직업
가져가다	동사	사회생활	사회 활동
가져오다	동사	사회생활	사회 활동
가족	명사	삶	친족 관계
가죽	명사	동식물	동물의 부분
가지01	명사	동식물	식물의 부분
가지03	의존명사	개념	세는 말
가지런히	부사	개념	모양
가창력	명사	인간	능력
가책	명사	인간	감정
가축	명사	동식물	동물류
가치	명사	인간	인지 행위
가치관	명사	인간	인지 행위
가톨릭	명사	종교	종교 유형
각02	명사	개념	모양
각국	명사	개념	지역
각도	명사	개념	정도
각본	명사	문화	대중문화
각성	명사	인간	인지 행위
각양각색	명사	개념	모양
각오	명사	인간	인지 행위
각지	명사	개념	지역
간01	명사	식생활	맛
간03	명사	인간	신체 부위
간04	의존명사	사회생활	인간관계
간간이	부사	개념	정도
간격	명사	개념	위치 및 방향
간과하다	동사	인간	인지 행위
간담회	명사	사회생활	사회 활동
간밤	명사	개념	시간
간부	명사	사회생활	직위
간식	명사	식생활	음식
간신히	부사	인간	태도
간장01	명사	식생활	식재료
간절하다	형용사	인간	감정
간절히	부사	인간	감정
간주01	명사	인간	인지 행위
간지럽다	형용사	인간	감각
간판	명사	주생활	주택 구성
간호	명사	삶	치료 행위
간호사	명사	사회생활	직업
간혹02/간혹01	부사/명사	개념	빈도
갈대	명사	동식물	식물류
갈등	명사	인간	감정
갈망	명사	인간	인지 행위
갈비	명사	식생활	식재료
갈비탕	명사	식생활	음식
갈색	명사	개념	색깔
갈수록	부사	개념	시간
갈아입다	동사	의생활	의복 착용 행위
갈아타다	동사	사회생활	교통 이용 행위
갈증	명사	인간	감각
감01	명사	식생활	과일
감03	명사	인간	감정
감각	명사	인간	감각
감격	명사	인간	감정
감격스럽다	형용사	인간	감정
감금	명사	정치와 행정	사법 및 치안 행위
감기	명사	삶	병과 증상
감기약	명사	삶	약품류
감다01	동사	인간	신체 행위
감다02	동사	삶	일상 행위
감다03	동사	인간	신체 행위
감다03	동사	인간	신체 행위
감독	명사	사회생활	직업
감독	명사	문화	문화 활동 주체
감동	명사	인간	감정
감동적01∙감동적02	관형사∙명사	인간	감정
감량	명사	인간	신체 변화
감명	명사	인간	감정
감사01	명사	인간	감정
감사03	명사	정치와 행정	정치 및 행정 행위
감상01	명사	인간	감정
감상03	명사	문화	문화 활동
감상문	명사	문화	문학
감성	명사	인간	감정
감성적01∙감성적02	관형사∙명사	인간	감정
감소	명사	개념	양
감수01	명사	사회생활	사회 활동
감수성	명사	인간	감정
감안	명사	인간	인지 행위
감언이설	명사	사회생활	언어 행위
감염	명사	삶	병과 증상
감자01	명사	식생활	채소
감정01	명사	인간	감정
감정적01∙감정적02	관형사∙명사	인간	감정
감지	명사	인간	인지 행위
감촉	명사	인간	감각
감탄	명사	인간	감정
감탄사	명사	사회생활	말
감회	명사	인간	감정
감히	부사	인간	감정
갑갑하다	형용사	인간	감정
값	명사	경제생활	경제 수단
값싸다	형용사	경제생활	경제 상태
값어치	명사	경제생활	경제 상태
값지다	형용사	경제생활	경제 상태
갓02	부사	개념	시간
강	명사	자연	지형
강국	명사	정치와 행정	정치 및 행정 주체
강당	명사	교육	학교 시설
강대국	명사	정치와 행정	정치 및 행정 주체
강도02	명사	개념	정도
강도03	명사	정치와 행정	사법 및 치안 주체
강력00	명사	개념	정도
강력히	부사	인간	태도
강렬하다	형용사	개념	정도
강물	명사	자연	지형
강사02	명사	교육	교수 학습 주체
강산01	명사	자연	지형
강세	명사	개념	정도
강수량	명사	자연	기상 및 기후
강아지	명사	동식물	동물류
강연	명사	사회생활	언어 행위
강우량	명사	자연	기상 및 기후
강의	명사	교육	교수 학습 행위
강의실	명사	교육	학교 시설
강인하다	형용사	인간	체력 상태
강자	명사	인간	사람의 종류
강제적01∙강제적02	관형사∙명사	인간	태도
강직하다	형용사	인간	성격
강풍	명사	자연	기상 및 기후
강하다02	형용사	개념	성질
같다	형용사	개념	모양
갚다	동사	경제생활	경제 행위
개01	명사	동식물	동물류
개03	의존명사	개념	세는 말
개강	명사	교육	교수 학습 행위
개개인	명사	인간	사람의 종류
개구리	명사	동식물	동물류
개그	명사	문화	대중문화
개나리	명사	동식물	식물류
개념	명사	인간	인지 행위
개다01	동사	자연	기상 및 기후
개미	명사	동식물	곤충류
개설	명사	교육	교수 학습 행위
개설	명사	경제생활	경제 행위
개성	명사	인간	성격
개수	명사	개념	수
개신교	명사	종교	종교 유형
개업	명사	경제생활	경제 행위
개요	명사	교육	학문 용어
개운하다	형용사	인간	감각
개월	의존명사	개념	세는 말
개최	명사	사회생활	사회 활동
개표02	명사	정치와 행정	정치 및 행정 행위
객관적01∙객관적02	관형사∙명사	교육	학문 행위
객지	명사	개념	지역
걔	줄어든 말	개념	인칭
거금01	명사	경제생활	경제 수단
거기	대명사	개념	지시
거꾸로	부사	개념	위치 및 방향
거닐다	동사	인간	신체 행위
거대	명사	개념	모양
거동	명사	인간	신체 행위
거들다	동사	사회생활	사회 활동
거듭	부사	개념	빈도
거뜬하다	형용사	인간	능력
거래	명사	경제생활	경제 행위
거론	명사	사회생활	언어 행위
거리01	명사	사회생활	교통 이용 장소
거리03	명사	개념	위치 및 방향
거리낌	명사	인간	태도
거만	명사	인간	태도
거문고	명사	문화	음악
거미	명사	동식물	곤충류
거부02	명사	사회생활	사회 활동
거부감	명사	인간	감정
거북이	명사	동식물	동물류
거북하다	형용사	인간	감각
거스르다01	동사	사회생활	사회 활동
거스름돈	명사	경제생활	경제 수단
거실	명사	주생활	주택 구성
거액	명사	경제생활	경제 수단
거울	명사	주생활	생활용품
거의02/거의01	부사/명사	개념	양
거인	명사	인간	사람의 종류
거절	명사	사회생활	사회 활동
거주	명사	삶	삶의 행위
거짓말	명사	사회생활	언어 행위
거칠다	형용사	개념	성질
거칠다	형용사	개념	성질
거칠다	형용사	인간	태도
거칠다	형용사	개념	성질
거침없이	부사	인간	태도
걱정	명사	인간	감정
걱정거리	명사	인간	인지 행위
걱정스럽다	형용사	인간	감정
건강	명사	인간	체력 상태
건기	명사	자연	기상 및 기후
건너	명사	개념	위치 및 방향
건너가다	동사	사회생활	교통 이용 행위
건너다	동사	사회생활	교통 이용 행위
건너편	명사	사회생활	교통 이용 장소
건널목	명사	사회생활	교통 이용 장소
건네다	동사	사회생활	사회 활동
건네다	동사	사회생활	사회 활동
건네주다	동사	사회생활	사회 활동
건드리다	동사	인간	신체 행위
건립	명사	정치와 행정	정치 및 행정 행위
건망증	명사	삶	병과 증상
건물	명사	주생활	건물 종류
건방지다	형용사	인간	태도
건성01	명사	인간	태도
건수	명사	개념	수
건의	명사	사회생활	언어 행위
건축물	명사	주생활	건물 종류
걷다02	동사	인간	신체 행위
걷어차다	동사	인간	신체 행위
걸다02	동사	주생활	가사 행위
걸다02	동사	사회생활	사회 활동
걸레	명사	주생활	가사 행위
걸리다01	동사	삶	병과 증상
걸어가다	동사	인간	신체 행위
걸어오다01	동사	인간	신체 행위
걸음	명사	삶	일상 행위
걸음걸이	명사	인간	신체 행위
걸작	명사	문화	예술
걸치다	동사	의생활	의복 착용 행위
걸터앉다	동사	인간	신체 행위
검거	명사	정치와 행정	사법 및 치안 행위
검다	형용사	개념	색깔
검다	형용사	개념	색깔
검사01	명사	정치와 행정	사법 및 치안 주체
검사02	명사	삶	치료 행위
검색	명사	사회생활	통신 행위
검소	명사	경제생활	경제 상태
검은색	명사	개념	색깔
검정01	명사	개념	색깔
검증	명사	교육	학문 행위
검진	명사	삶	치료 행위
검찰	명사	정치와 행정	사법 및 치안 주체
겁	명사	인간	감정
겁나다	동사	인간	감정
겁내다	동사	인간	인지 행위
겉	명사	개념	위치 및 방향
겉모습	명사	인간	용모
겉보기	명사	개념	모양
겉옷	명사	의생활	옷 종류
게01	명사	식생활	식재료
게다가01	부사	개념	접속
게으르다	형용사	인간	태도
게을리하다	동사	인간	태도
게임	명사	삶	여가 도구
게임	명사	삶	여가 도구
게재	명사	사회생활	통신 행위
겨드랑이	명사	인간	신체 부위
겨루다	동사	사회생활	사회 활동
겨를	의존명사	개념	시간
겨우	부사	개념	정도
겨울	명사	개념	시간
겨울철	명사	개념	시간
격려	명사	사회생활	언어 행위
격식	명사	사회생활	사회 생활 상태
격언	명사	사회생활	말
격차	명사	개념	정도
견과	명사	식생활	과일
견문	명사	인간	인지 행위
견제	명사	사회생활	사회 활동
견학	명사	교육	교수 학습 행위
견해	명사	인간	인지 행위
결국02/결국01	부사/명사	개념	시간
결근	명사	사회생활	직장 생활
결단	명사	인간	인지 행위
결단력	명사	인간	능력
결별	명사	사회생활	사회 활동
결석	명사	교육	교수 학습 행위
결심	명사	인간	인지 행위
결의02	명사	사회생활	사회 활동
결재	명사	사회생활	직장 생활
결정01	명사	인간	인지 행위
결제	명사	경제생활	경제 행위
결코	부사	개념	정도
결혼	명사	삶	가족 행사
결혼식	명사	삶	가족 행사
결혼식장	명사	삶	가족 행사
겸손	명사	인간	태도
겸허	명사	인간	태도
-경01	접사	개념	시간
경건하다	형용사	인간	감정
경계01	명사	개념	위치 및 방향
경계02	명사	인간	인지 행위
경고	명사	사회생활	언어 행위
경고문	명사	사회생활	소통 수단
경기01	명사	경제생활	경제 행위
경기02	명사	삶	여가 활동
경기장	명사	삶	여가 시설
경력	명사	사회생활	직장 생활
경련	명사	삶	병과 증상
경매	명사	경제생활	경제 행위
경멸	명사	인간	태도
경복궁	명사	문화	전통문화
경비01	명사	경제생활	경제 수단
경비02	명사	사회생활	직업
경사01	명사	개념	모양
경솔하다	형용사	인간	태도
경악	명사	인간	감정
경영	명사	사회생활	직장 생활
경영진	명사	경제생활	경제 행위 주체
경영학	명사	교육	전공과 교과목
경유01	명사	사회생활	교통 이용 행위
경쟁	명사	사회생활	사회 활동
경쟁력	명사	인간	능력
경쟁률	명사	사회생활	사회 생활 상태
경전	명사	종교	종교 활동 도구
경제	명사	경제생활	경제 행위
경제권01	명사	경제생활	경제 상태
경제력	명사	경제생활	경제 행위
경제성	명사	경제생활	경제 상태
경제적01∙경제적02	관형사∙명사	경제생활	경제 행위
경제학	명사	교육	전공과 교과목
경조사	명사	삶	가족 행사
경직	명사	인간	감각
경찰	명사	정치와 행정	사법 및 치안 주체
경찰	명사	정치와 행정	사법 및 치안 주체
경찰관	명사	정치와 행정	사법 및 치안 주체
경찰서	명사	사회생활	직장
경찰청	명사	정치와 행정	사법 및 치안 주체
경청	명사	인간	인지 행위
경품	명사	경제생활	경제 수단
경험	명사	인간	인지 행위
경험담	명사	사회생활	언어 행위
경호	명사	사회생활	사회 활동
곁01	명사	개념	위치 및 방향
곁눈질	명사	인간	신체 행위
계곡	명사	자연	지형
계급	명사	사회생활	사회 생활 상태
계단	명사	주생활	주택 구성
계란	명사	식생활	식재료
계산	명사	경제생활	경제 행위
계산	명사	경제생활	경제 행위
계산기	명사	경제생활	경제 수단
계산대	명사	경제생활	경제 수단
계속02/계속01	부사/명사	개념	시간
계약	명사	경제생활	경제 행위
계약금	명사	경제생활	경제 수단
계절	명사	개념	시간
계좌	명사	경제생활	경제 수단
계획	명사	인간	인지 행위
고가02	명사	경제생활	경제 수단
고개01	명사	인간	신체 부위
고개02	명사	자연	지형
고객	명사	경제생활	경제 행위 주체
고교생	명사	교육	교수 학습 주체
고구마	명사	식생활	채소
고궁	명사	문화	전통문화
고급	명사	개념	성질
고급	명사	개념	성질
고급스럽다	형용사	개념	성질
고기01	명사	식생활	식재료
고기01	명사	식생활	식재료
고기압	명사	자연	기상 및 기후
고기잡이	명사	경제생활	경제 행위
고난	명사	삶	삶의 상태
고다	동사	식생활	식사 및 조리 행위
고단하다	형용사	삶	삶의 상태
고달프다	형용사	삶	삶의 상태
고대01	명사	개념	시간
고도00	명사	개념	정도
고독	명사	인간	감정
고되다	형용사	삶	삶의 상태
고등	명사	개념	성질
고등어	명사	식생활	식재료
고등학교	명사	교육	교육 기관
고등학생	명사	교육	교수 학습 주체
고래01	명사	동식물	동물류
고려01	명사	인간	인지 행위
고령	명사	인간	체력 상태
고령화	명사	사회생활	사회 생활 상태
고루	부사	개념	모양
고르다03	형용사	개념	모양
고립	명사	사회생활	사회 생활 상태
고마워하다	동사	인간	감정
고맙다01	형용사	인간	감정
고모	명사	삶	친족 관계
고무01	명사	자연	자원
고무신	명사	의생활	모자, 신발, 장신구
고민	명사	인간	인지 행위
고발	명사	정치와 행정	사법 및 치안 행위
고백	명사	사회생활	언어 행위
고비	명사	삶	삶의 상태
고상하다	형용사	인간	태도
고생스럽다	형용사	삶	삶의 상태
고소01	명사	정치와 행정	사법 및 치안 행위
고소득	명사	경제생활	경제 상태
고소하다01	형용사	식생활	맛
고속	명사	개념	속도
고속버스	명사	사회생활	교통수단
고수01	명사	인간	태도
고스란히	부사	개념	모양
고심	명사	인간	인지 행위
고아	명사	인간	사람의 종류
고안	명사	인간	인지 행위
고약하다	형용사	개념	성질
고양이	명사	동식물	동물류
고온	명사	개념	온도
고요	명사	삶	삶의 상태
고요히	부사	삶	삶의 상태
고용	명사	경제생활	경제 행위
고원	명사	자연	지형
고위	명사	사회생활	사회 생활 상태
고의	명사	인간	태도
고인02	명사	인간	사람의 종류
고장02	명사	개념	지역
고전01	명사	개념	시간
고졸	명사	교육	교수 학습 행위
고집	명사	인간	성격
고찰	명사	인간	인지 행위
고체	명사	개념	모양
고추	명사	식생활	채소
고춧가루	명사	식생활	식재료
고충	명사	삶	삶의 상태
고층	명사	개념	모양
고치다	동사	주생활	가사 행위
고치다	동사	삶	치료 행위
고통	명사	인간	감각
고통스럽다	형용사	인간	감각
고프다	형용사	인간	감각
고학력	명사	인간	능력
고함	명사	인간	신체 행위
고향	명사	개념	지역
고혈압	명사	삶	병과 증상
곡01	명사	개념	세는 말
곡01	명사	삶	여가 활동
곡물	명사	식생활	곡류
곡선	명사	개념	모양
곡식	명사	식생활	곡류
곤경	명사	삶	삶의 상태
곤궁	명사	삶	삶의 상태
곤욕	명사	삶	삶의 상태
곤충	명사	동식물	곤충류
곧	부사	개념	시간
곧다	형용사	개념	모양
곧다	형용사	인간	성격
곧바로	부사	개념	시간
곧바로	부사	개념	시간
곧이어	부사	개념	시간
곧잘	부사	개념	정도
곧장	부사	개념	모양
골04	명사	삶	여가 활동
골고루	부사	개념	모양
골다	동사	인간	생리 현상
골동품	명사	문화	전통문화
골머리	명사	인간	신체 부위
골짜기	명사	자연	지형
골치	명사	인간	신체 부위
골칫거리	명사	인간	인지 행위
골프	명사	삶	여가 활동
곪다	동사	삶	병과 증상
곰	명사	동식물	동물류
곰곰이	부사	인간	인지 행위
곱다01	형용사	개념	모양
곱슬머리	명사	의생활	미용 행위
곱하다	동사	개념	수
곳	명사	개념	지역
곳곳	명사	개념	지역
공01	명사	삶	여가 도구
공03	명사	개념	수
공간	명사	개념	지역
공감	명사	인간	감정
공감대	명사	인간	감정
공경	명사	사회생활	사회 활동
공고02	명사	사회생활	직장 생활
공공연하다	형용사	사회생활	사회 생활 상태
공공장소	명사	정치와 행정	공공 기관
공과금	명사	정치와 행정	정치 및 행정 행위
공군	명사	정치와 행정	사법 및 치안 주체
공권력	명사	정치와 행정	사법 및 치안 행위
공기03	명사	개념	세는 말
공립	명사	사회생활	사회 생활 상태
공무원	명사	정치와 행정	정치 및 행정 주체
공문	명사	사회생활	직장 생활
공방02	명사	사회생활	언어 행위
공부	명사	교육	교수 학습 행위
공상	명사	인간	인지 행위
공손하다	형용사	인간	태도
공식적01∙공식적02	관형사∙명사	사회생활	사회 생활 상태
공약01	명사	정치와 행정	정치 및 행정 행위
공연	명사	문화	문화 활동
공연장	명사	문화	문화생활 장소
공예	명사	문화	미술
공용어	명사	사회생활	말
공원02	명사	삶	여가 시설
공유02	명사	사회생활	사회 생활 상태
공익01	명사	사회생활	사회 생활 상태
공장	명사	경제생활	경제 행위 장소
공적01∙공적02	관형사∙명사	사회생활	사회 활동
공정02	명사	사회생활	사회 생활 상태
공존	명사	사회생활	사회 생활 상태
공주	명사	사회생활	직위
공중01	명사	사회생활	사회 생활 상태
공중02	명사	자연	천체
공직	명사	정치와 행정	공공 기관
공짜	명사	경제생활	경제 행위
공책	명사	교육	학습 관련 사물
공터	명사	개념	위치 및 방향
공평하다	형용사	사회생활	사회 생활 상태
공포01	명사	인간	감정
공포감	명사	인간	감정
공학01	명사	교육	전공과 교과목
공항	명사	사회생활	교통 이용 장소
공허하다	형용사	인간	감정
공헌	명사	사회생활	사회 활동
공휴일	명사	개념	시간
-과	접사	사회생활	직장
과01	명사	교육	전공과 교과목
과02	명사	교육	전공과 교과목
과감하다	형용사	인간	태도
과감히	부사	인간	태도
과거02	명사	개념	시간
과격하다	형용사	인간	태도
과다	명사	개념	양
과도하다	형용사	개념	정도
과목	명사	교육	전공과 교과목
과민	명사	인간	감정
과반수	명사	개념	수
과부	명사	인간	사람의 종류
과소비	명사	경제생활	경제 행위
과속	명사	사회생활	교통 이용 행위
과식	명사	식생활	식사 및 조리 행위
과언	명사	사회생활	소통 수단
과외	명사	교육	교수 학습 행위
과외	명사	교육	교수 학습 행위
과음	명사	식생활	식사 및 조리 행위
과일	명사	식생활	과일
과잉	명사	개념	양
과자	명사	식생활	음식
과장03	명사	사회생활	직위
과정02	명사	교육	교수 학습 행위
과제	명사	교육	교수 학습 행위
과찬	명사	사회생활	언어 행위
과하다01	형용사	개념	양
과학	명사	교육	전공과 교과목
과학자	명사	사회생활	직업
-관01	접사	정치와 행정	정치 및 행정 주체
관객	명사	문화	문화 활동 주체
관계02	명사	사회생활	사회 활동
관계자	명사	인간	사람의 종류
관공서	명사	정치와 행정	공공 기관
관광	명사	삶	여가 활동
관광객	명사	인간	사람의 종류
관광지	명사	삶	여가 시설
관대하다02	형용사	인간	태도
관람	명사	문화	문화 활동
관람객	명사	문화	문화 활동 주체
관련자	명사	사회생활	인간관계
관리01	명사	정치와 행정	정치 및 행정 주체
관세	명사	경제생활	경제 수단
관심	명사	인간	감정
관용03	명사	인간	태도
관용어	명사	사회생활	말
관절	명사	인간	신체 부위
관중	명사	문화	문화 활동 주체
관직	명사	사회생활	직위
관청	명사	정치와 행정	공공 기관
관형사	명사	사회생활	말
광고	명사	사회생활	통신 행위
광범위하다	형용사	개념	모양
광부	명사	사회생활	직업
광장	명사	개념	위치 및 방향
광주	명사	개념	지역
광활하다	형용사	개념	모양
괜찮다	형용사	인간	감정
괜찮다	형용사	인간	감정
괴로움	명사	인간	감정
괴로워하다	동사	인간	감정
괴롭다	형용사	인간	감정
굉장하다	형용사	개념	정도
굉장히	부사	개념	정도
교감01	명사	사회생활	사회 활동
교과	명사	교육	전공과 교과목
교과서	명사	교육	학습 관련 사물
교내	명사	개념	지역
교도소	명사	정치와 행정	공공 기관
교란	명사	사회생활	사회 활동
교류	명사	사회생활	사회 활동
교묘하다	형용사	개념	성질
교무실	명사	교육	학교 시설
교복	명사	의생활	옷 종류
교사03	명사	교육	교수 학습 주체
교섭	명사	사회생활	사회 활동
교수	명사	교육	교수 학습 주체
교시01	의존명사	교육	교수 학습 행위
교실	명사	교육	학교 시설
교외01	명사	개념	지역
교원	명사	교육	교수 학습 주체
교육	명사	교육	교수 학습 행위
교육자	명사	교육	교수 학습 주체
교장	명사	사회생활	직위
교재	명사	교육	학습 관련 사물
교제	명사	사회생활	사회 활동
교통	명사	사회생활	교통 이용 행위
교통비	명사	경제생활	경제 수단
교통사고	명사	사회생활	교통 이용 행위
교통수단	명사	사회생활	교통수단
교포	명사	인간	사람의 종류
교환	명사	경제생활	경제 행위
교활하다	형용사	인간	성격
교회	명사	종교	종교 활동 장소
구01/구02	수사/관형사	개념	수
구06	명사	개념	모양
구간01	명사	개념	위치 및 방향
구걸	명사	사회생활	사회 활동
구겨지다	동사	개념	모양
구경	명사	삶	여가 활동
구경꾼	명사	문화	문화 활동 주체
구급차	명사	사회생활	교통수단
구내식당	명사	교육	학교 시설
구두01	명사	의생활	모자, 신발, 장신구
구두쇠	명사	경제생활	경제 상태
구름	명사	자연	기상 및 기후
구매	명사	경제생활	경제 행위
구매자	명사	경제생활	경제 행위 주체
구박	명사	사회생활	사회 활동
구부리다	동사	인간	신체 행위
구사	명사	사회생활	언어 행위
구상02	명사	인간	인지 행위
구석	명사	개념	지역
구석구석	명사	개념	위치 및 방향
구수하다	형용사	식생활	맛
구슬	명사	의생활	모자, 신발, 장신구
구십01/구십02	수사/관형사	개념	수
구어	명사	사회생활	말
구역	명사	개념	지역
구원	명사	사회생활	사회 활동
구월	명사	개념	시간
구인01	명사	경제생활	경제 행위
구입	명사	경제생활	경제 행위
구절	명사	사회생활	소통 수단
구제01	명사	사회생활	사회 활동
구직	명사	경제생활	경제 행위
구직난00	명사	경제생활	경제 상태
구직자00	명사	경제생활	경제 행위 주체
구청	명사	정치와 행정	공공 기관
구체적01∙구체적02	관형사∙명사	교육	학문 행위
구출	명사	사회생활	사회 활동
구태여	부사	인간	태도
구토	명사	삶	병과 증상
구호01	명사	사회생활	소통 수단
구호02	명사	사회생활	사회 활동
국	명사	식생활	음식
국가01	명사	정치와 행정	정치 및 행정 주체
국경	명사	정치와 행정	정치 및 치안 상태
국고	명사	경제생활	경제 수단
국군	명사	정치와 행정	사법 및 치안 주체
국내	명사	개념	지역
국내선	명사	사회생활	교통수단
국내외	명사	정치와 행정	정치 및 치안 상태
국도	명사	사회생활	교통 이용 장소
국력	명사	정치와 행정	정치 및 치안 상태
국물	명사	식생활	음식
국민	명사	정치와 행정	정치 및 행정 주체
국방	명사	정치와 행정	사법 및 치안 행위
국보	명사	문화	전통문화
국비	명사	경제생활	경제 수단
국세청	명사	정치와 행정	공공 기관
국수	명사	식생활	음식
국악	명사	문화	전통문화
국어	명사	교육	전공과 교과목
국왕	명사	정치와 행정	정치 및 행정 주체
국외	명사	개념	지역
국익	명사	경제생활	경제 상태
국장01	명사	사회생활	직위
국정02	명사	정치와 행정	정치 및 행정 행위
국제선	명사	사회생활	교통수단
국제적01∙국제적02	관형사∙명사	정치와 행정	정치 및 치안 상태
국토	명사	정치와 행정	정치 및 치안 상태
국화02	명사	동식물	식물류
국회	명사	정치와 행정	공공 기관
군03	명사	정치와 행정	사법 및 치안 주체
군04	명사	개념	지역
군대	명사	정치와 행정	사법 및 치안 행위
군데	의존명사	개념	지역
군데군데01/군데군데02	명사/부사	개념	위치 및 방향
군밤	명사	식생활	음식
군사01	명사	정치와 행정	사법 및 치안 행위
군사01	명사	정치와 행정	사법 및 치안 행위
군인	명사	정치와 행정	사법 및 치안 주체
굳다01	동사	개념	성질
굳다01	동사	개념	성질
굳이	부사	인간	태도
굴곡	명사	개념	모양
굴뚝	명사	주생활	주택 구성
굵다	형용사	개념	모양
굶다	동사	식생활	식사 및 조리 행위
굶주리다	동사	삶	삶의 상태
굶주림	명사	삶	삶의 상태
굽	명사	의생활	모자, 신발, 장신구
굽다01	동사	식생활	식사 및 조리 행위
굽히다	동사	인간	신체 행위
궁02	명사	문화	전통문화
궁궐	명사	문화	전통문화
궁금증	명사	인간	인지 행위
궁금하다	형용사	인간	인지 행위
궁리	명사	인간	인지 행위
궁중	명사	문화	전통문화
궂다	형용사	자연	기상 및 기후
권	의존명사	개념	세는 말
권고	명사	사회생활	사회 활동
권력	명사	정치와 행정	정치 및 행정 행위
권장	명사	사회생활	사회 활동
권총	명사	정치와 행정	무기
권태	명사	인간	감정
궤도	명사	개념	위치 및 방향
귀01	명사	인간	신체 부위
귀01	명사	인간	신체 부위
귀걸이	명사	의생활	모자, 신발, 장신구
귀여워하다	동사	인간	감정
귀엽다	형용사	인간	감정
귀족	명사	사회생활	직위
귀중하다	형용사	인간	감정
귀찮다	형용사	인간	감정
귓속말	명사	사회생활	언어 행위
규모	명사	개념	모양
규칙	명사	사회생활	사회 활동
규칙적01∙규칙적02	관형사∙명사	개념	시간
귤	명사	식생활	과일
그02/그01	관형사/대명사	개념	지시
그간	명사	개념	지시
그거	대명사	개념	지시
그것	대명사	개념	지시
그곳	대명사	개념	지시
그날	명사	개념	시간
그네01	명사	삶	여가 도구
그녀	대명사	개념	인칭
그대	대명사	개념	인칭
그대로	부사	개념	모양
그동안	명사	개념	시간
그때	명사	개념	시간
그래도	줄어든 말	개념	접속
그래서01	부사	개념	접속
그램	의존명사	개념	세는 말
그러나01	부사	개념	접속
그러니까	부사	개념	접속
그러다	동사	개념	지시
그러면01	부사	개념	접속
그러므로	부사	개념	접속
그런01	관형사	개념	지시
그런데01	부사	개념	접속
그렇다	형용사	개념	지시
그렇지01	감탄사	인간	감정
그렇지만	부사	개념	접속
그르다01/그르다02	형용사/동사	개념	성질
그릇	명사	식생활	조리 도구
그릇되다	동사	개념	성질
그리01	부사	개념	지시
그리02	부사	개념	지시
그리고	부사	개념	접속
그리다01	동사	인간	인지 행위
그리다02	동사	삶	여가 활동
그리움	명사	인간	감정
그리하여	부사	개념	접속
그림	명사	문화	미술
그립다	형용사	인간	감정
그만큼01/그만큼02	부사/명사	개념	정도
그분	대명사	개념	인칭
그윽하다	형용사	개념	성질
그저께02/그저께01	부사/명사	개념	시간
그제01/그제02	명사/부사	개념	시간
그제야	부사	개념	시간
그쪽	대명사	개념	지시
그치다	동사	자연	기상 및 기후
그토록	부사	개념	정도
극-	접사	개념	정도
극단적01∙극단적02	관형사∙명사	인간	성격
극도	명사	개념	정도
