word	part_of_speech	major	minor
비판	명사	사회생활	언어 행위
비판적01∙비판적02	관형사∙명사	인간	성격
비평	명사	사회생활	언어 행위
비하	명사	사회생활	언어 행위
비행기	명사	사회생활	교통수단
비행장	명사	사회생활	교통 이용 장소
빈곤	명사	경제생활	경제 상태
빈도	명사	개념	빈도
빈둥거리다	동사	인간	태도
빈민	명사	경제생활	경제 상태
빈번하다	형용사	개념	빈도
빈부	명사	경제생활	경제 상태
빈소	명사	삶	가족 행사
빈털터리	명사	경제생활	경제 상태
빈틈없다	형용사	인간	성격
빈틈없이	부사	인간	태도
빈혈	명사	삶	병과 증상
빌딩	명사	주생활	건물 종류
빌리다	동사	경제생활	경제 행위
빗	명사	의생활	미용 행위
빗기다	동사	의생활	미용 행위
빗다	동사	의생활	미용 행위
빗방울	명사	자연	기상 및 기후
빗줄기	명사	자연	기상 및 기후
빙산	명사	자연	지형
빙수	명사	식생활	음식
빙하	명사	자연	지형
빚	명사	경제생활	경제 수단
빛	명사	개념	밝기
빛	명사	개념	밝기
빛깔	명사	개념	색깔
빛나다	동사	개념	밝기
빛내다	동사	개념	밝기
빠듯하다	형용사	경제생활	경제 상태
빠르다	형용사	개념	속도
빡빡하다	형용사	인간	태도
빨간색	명사	개념	색깔
빨강	명사	개념	색깔
빨갛다	형용사	개념	색깔
빨개지다	동사	개념	색깔
